Neuron Name	Soma_Surface_total_sum	N_stems_total_sum	
A12-May28-IR1-3C.CNG.swc	766.33	9.0	
A4-May16-IR2-5-H.CNG.swc	132.96	6.0	
A2-June2-IR1-3-E.CNG.swc	84.44	8.0	
May3IR2c-PFC.CNG.swc	350.23	5.0	
A2-June2-IR1-5-I.CNG.swc	76.23	7.0	
A3-May14-IR1-4-E.CNG.swc	87.06	7.0	
A7-May22-IR1-1A.CNG.swc	76.23	8.0	
A5-May18-IR1-3-E.CNG.swc	95.43	7.0	
A3-May14-IR1-1-B.CNG.swc	124.19	7.0	
A3-May14-IR1-5-G.CNG.swc	130.79	6.0	
A6-May-27-IR1-1A.CNG.swc	76.22	8.0	
A1-May29-IR1-1B.CNG.swc	84.61	6.0	
A8-May-15-IR1-2C.CNG.swc	87.35	5.0	
A4-May16-IR1-4-H.CNG.swc	149.75	6.0	
Jul16IR2b-V1.CNG.swc	393.88	5.0	
A2-June2-IR3-2-B.CNG.swc	102.23	5.0	
A4-May16-IR1-5-I.CNG.swc	117.91	9.0	
A11-May17-IR1-4-J.CNG.swc	134.82	7.0	
A9-May23-IR1-3-F.CNG.swc	158.68	10.0	
A5-May18-IR1-4-G.CNG.swc	117.13	9.0	
A12-May28-IR1-2-B.CNG.swc	126.71	5.0	
A7-May22-IR3-1-B.CNG.swc	78.85	5.0	
A11-May17-IR1-2-D.CNG.swc	89.87	6.0	
A10-May-13-IR2-3-F.CNG.swc	94.56	6.0	
A7-May23-IR2-3-F.CNG.swc	92.7	7.0	
A13-May30-IR1-4F.CNG.swc	128.17	11.0	
A1-May29-IR1-1C.CNG.swc	112.61	5.0	
A6-May-27-IR3-2-C.CNG.swc	93.17	6.0	
A5-May18-IR1-1-A.CNG.swc	111.73	8.0	
A4-May16-IR1-3-F.CNG.swc	76.23	8.0	
A1-May29-IR1-1A.CNG.swc	68.47	9.0	
May3IR2d-PFC.CNG.swc	435.34	6.0	
A13-May30-IR1-3E.CNG.swc	68.47	8.0	
A11-May17-IR1-2-E.CNG.swc	93.11	5.0	
A11-May17-IR1-5-K.CNG.swc	177.56	10.0	
A1-May29-IR1-3-G.CNG.swc	84.45	7.0	
A8-May-15-IR1-1B.CNG.swc	210.77	8.0	
Jul16IR3b-V1.CNG.swc	283.7	6.0	
Jun7IR1d-PFC.CNG.swc	333.81	6.0	
A3-May14-IR1-1-A.CNG.swc	266.11	10.0	
A1-May29-IR1-3-I.CNG.swc	118.95	5.0	
A6-May-27-IR3-3-E.CNG.swc	81.43	9.0	
A3-May14-IR1-2-C.CNG.swc	142.38	10.0	
A12-May28-IR1-5G.CNG.swc	76.23	7.0	
A2-June2-IR1-1-A.CNG.swc	120.97	7.0	
A11-May17-IR1-3-F.CNG.swc	94.57	10.0	
A13-May20-IR2-5K.CNG.swc	93.48	9.0	
A1-May25-IR1-2E.CNG.swc	630.54	9.0	
A11-May17-IR1-3-G.CNG.swc	126.73	11.0	
A5-May18-IR1-2-C.CNG.swc	113.5	6.0	
A1-May29-IR1-3-H.CNG.swc	76.23	7.0	
A9-May23-IR1-6-K.CNG.swc	98.75	9.0	
A1-May29-IR1-5N.CNG.swc	87.12	8.0	
A11-May17-IR1-3-H.CNG.swc	95.43	4.0	
May3IR2j-PFC-Apical-Only.CNG.swc	622.98	1.0	
A11-May17-IR1-5-L.CNG.swc	325.86	6.0	
A1-May29-IR2-3-G.CNG.swc	111.23	6.0	
Jul16IR1d-V1.CNG.swc	319.87	5.0	
A8-May-15-IR1-3-D.CNG.swc	142.16	8.0	
A7-May22-IR3-2-C.CNG.swc	68.47	7.0	
Jul16IR3f-V1.CNG.swc	399.75	4.0	
A2-June2-IR1-3-F.CNG.swc	78.85	6.0	
A9-May23-IR1-4H.CNG.swc	143.02	6.0	
A9-May23-IR1-1-B.CNG.swc	168.58	9.0	
A6-May-27-IR1-3-F.CNG.swc	68.47	8.0	
A13-May30-IR1-1-A.CNG.swc	167.09	8.0	
A1-May29-IR1-5-O.CNG.swc	112.55	8.0	
D20D.CNG.swc	1569.13	8.0	
D27B.CNG.swc	1073.97	9.0	
CF-3.CNG.swc	NA	NA	
RLR7B-1.CNG.swc	NA	NA	
CF-2.CNG.swc	NA	NA	
CF-1.CNG.swc	NA	NA	
LMC6cB-3.CNG.swc	NA	NA	
LMR7S-1.CNG.swc	NA	NA	
H916-1.CNG.swc	353.34	3.0	
H910-2.CNG.swc	606.73	3.0	
124-5L.CNG.swc	576.24	2.0	
H917-2.CNG.swc	548.93	3.0	
H910-1.CNG.swc	482.97	4.0	
H913-3.CNG.swc	452.71	3.0	
H906-2.CNG.swc	559.27	4.0	
103-5.CNG.swc	667.5	2.0	
798-2.CNG.swc	733.99	5.0	
124-5R.CNG.swc	334.7	1.0	
mp_tv_11993_gc2.CNG.swc	2295.85	6.0	
mp_ma_40984_gc2.CNG.swc	1816.94	2.0	
mp_tv_11095_bpf.CNG.swc	645.15	5.0	
ts_eg_1_987_gc2.CNG.swc	1640.18	5.0	
mp_ma_101485_gc.CNG.swc	2128.36	2.0	
mp_hs_81_gc.CNG.swc	1488.83	6.0	
mp_ct_120791_gc.CNG.swc	1566.4	3.0	
mp_tb_40984_gc1.CNG.swc	1577.64	4.0	
mp_ma_041685_gc.CNG.swc	915.37	3.0	
ts_lw_y1218_gc.CNG.swc	493.45	2.0	
mp_tv_122192_bp.CNG.swc	877.07	7.0	
mp_tb_11389_gc2.CNG.swc	2402.34	5.0	
mp_tv_011193_gc.CNG.swc	1025.74	2.0	
Y799375X.CNG.swc	1786.85	3.0	
WGC2_3.CNG.swc	752.92	2.0	
Y562030X.CNG.swc	1905.61	5.0	
mp_tv_011293_ac.CNG.swc	1071.88	5.0	
ts_lw_y123_gc.CNG.swc	1651.68	2.0	
mp_hk_hc_0205.CNG.swc	1392.66	7.0	
CTT1209C.CNG.swc	590.46	3.0	
mp_ma_040984_gc.CNG.swc	NA	NA	
mp_tv_020795_cn.CNG.swc	576.76	2.0	
ts_lw_ynt9_gc.CNG.swc	1538.47	4.0	
CTT3219A.CNG.swc	1046.5	4.0	
ts_lw_y1130_gc.CNG.swc	1513.55	5.0	
mp_hs_94_gc.CNG.swc	1196.93	3.0	
MART.CNG.swc	663.37	2.0	
SMALL2.CNG.swc	1557.99	5.0	
LAR2.CNG.swc	2295.85	6.0	
mp_ma_090385_gc.CNG.swc	1609.47	4.0	
ts_lw_yntnb_gc.CNG.swc	1722.28	4.0	
mp_tv_123092.CNG.swc	602.84	2.0	
MED2.CNG.swc	1557.99	5.0	
mp_ma_021484_gc.CNG.swc	1905.61	5.0	
ts_lw_y124_gc.CNG.swc	1480.64	3.0	
mp11388_gc9.CNG.swc	400.59	3.0	
GC29_1.CNG.swc	1727.43	8.0	
mp_tv_123092_gc.CNG.swc	1196.56	2.0	
ts_eg_1_987_gc3.CNG.swc	1625.86	2.0	
mp_tb_11389_gc1.CNG.swc	1557.99	5.0	
THINSTAR.CNG.swc	473.89	4.0	
CTT3219N.CNG.swc	1421.24	6.0	
mp_tv_012193_ac.CNG.swc	850.1	5.0	
mp_hs_91_gc.CNG.swc	1226.41	7.0	
mp_ma_040984.CNG.swc	1160.67	2.0	
ts_lw_y1216_gc.CNG.swc	630.83	3.0	
mp_tv_032993_gc.CNG.swc	1658.17	4.0	
WGC6_6.CNG.swc	1101.91	2.0	
CTS7259G.CNG.swc	935.97	6.0	
CTT1209A.CNG.swc	838.05	5.0	
mp_tv_121592.CNG.swc	1273.01	2.0	
mp_tv_112792_gc.CNG.swc	1167.8	4.0	
mp_lg_92688_gc1.CNG.swc	1532.91	1.0	
ts_lw_y1211_gc.CNG.swc	1303.54	2.0	
ts_eg_100987_gc.CNG.swc	1102.14	3.0	
mp_tv_012893_gc.CNG.swc	1437.32	7.0	
GC29_2.CNG.swc	1724.49	9.0	
ts_tv_032993_am.CNG.swc	587.02	3.0	
mp_tv_041293_ac.CNG.swc	608.16	6.0	
ts_lw_y127_gc.CNG.swc	1497.05	5.0	
mp_ma_032685_gc.CNG.swc	1376.18	6.0	
CTT3219R.CNG.swc	897.13	4.0	
mp_tv_011293_gc.CNG.swc	707.72	3.0	
MBMASC.CNG.swc	1933.56	2.0	
ts_tv_032993_gc.CNG.swc	839.59	2.0	
CRAAC-M0323-4-2.CNG.swc	499.43	5.0	
CTh5080430D.CNG.swc	1534.4	10.0	
CRAAC-0524c.CNG.swc	418.53	5.0	
BE71F.CNG.swc	1046.47	4.0	
CTh5080523D.CNG.swc	1093.33	10.0	
PE14A.CNG.swc	356.69	9.0	
PRC2071212A.CNG.swc	936.31	7.0	
BE89F.CNG.swc	464.91	5.0	
PRC2080328I.CNG.swc	877.8	5.0	
PRC5080529I.CNG.swc	1086.68	8.0	
PRC5080924O.CNG.swc	1292.04	8.0	
PE08D.CNG.swc	449.82	5.0	
AAC-0526d.CNG.swc	849.09	7.0	
BE98B.CNG.swc	1118.38	5.0	
BE39B.CNG.swc	482.7	7.0	
BE74C.CNG.swc	435.0	3.0	
AAC-M0323-4-1.CNG.swc	448.87	10.0	
BE23B.CNG.swc	300.14	3.0	
BE25C.CNG.swc	773.44	5.0	
BE103A.CNG.swc	380.81	11.0	
PRC2080924N.CNG.swc	897.61	10.0	
AAC-M0323-3-1.CNG.swc	238.7	6.0	
BE32B.CNG.swc	584.7	5.0	
BE49B.CNG.swc	563.19	9.0	
PRC2080626C.CNG.swc	637.26	7.0	
BE22B.CNG.swc	604.14	3.0	
PRC5071122AM.CNG.swc	526.63	9.0	
BE10B.CNG.swc	609.5	4.0	
BE51B.CNG.swc	740.92	10.0	
BE37F.CNG.swc	712.39	7.0	
BE55A.CNG.swc	701.8	6.0	
